id,data,label
3102,                                                                                                                                                                                             Goooooooolllllll 🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹  #ITAING #ITA  #Azzurri  #Euro2020  #Nazionale #VivoAzzurro https://t.co/EQfDdwG8la,Positive
3103,                                                                                                                                                                                                                                                                                      UP YOUR FUCKING GAME ENGLAND,Negative
3104,"                                                                                                                                                                                                                                                 Mount absolutely weak as piss at the back post, sums his game up.",Negative
3105,                                                                                                                                                                                   So I’m banded from the living room now as I just went in and asked how the games going and well Italy scored seconds later oops,Neutral
3107,                                                                                                                                                                                                                                                                     team england bc of the beautiful men of color,Positive
3108,"                                                                                                                                                                                                                            Chiesa is a problem for England, they need to control him or they will lose this game.",Neutral
3110,                                                                                                                                                                                                                                                                  england u better win so i don’t have a grumpy bf,Negative
3111,                                                                                                                                                                                                                                                                     This ref is off his tits. #EURO2020 #ENG #ITA,Negative
3112,"                                                                                                                                                                                                                                                             Rice out, he can't handle Jorginho's length and girth",Negative
3113,                                                                                                                                                                                                                                                                        @nanaqwamejnr Italy dema midfield lit ruff,Neutral
3114,                                                                                                                                                                                           @CMTrades2204 Harry Kane is useless lost 3 balls and everytime in the goal area doesn’t know what’s to do with the Ball,Negative
3115,"                                                                                                                                                                                                                                                                                       Mount off, Grealish on NOW!",Negative
3116,                                                                                                                                                                                                                                      That Italy attack came from and England long ball  “hoof” from defence. #ENG,Neutral
3117,                                                                                                                                                                                                                                                                                                     Exactly! How?,Neutral
3118,                                                                                                                                                                                                                             @dwareham26 Maybe Rice is fucked because he is doing Mount and Sterling’s running too,Negative
3119,                                                                                                                                                                                                                                                         @iam_presider Wtf is Mason Mount doing on the pitch 🤦🏻‍♂️,Negative
3120,                                                                                                                                                                                                                                                    Oh get a move on England I signed up to William Hill for this.,Negative
3121,                                                                                                                                                                                                                                           I love that Saka gonna get the blame for them not being good enough lol,Negative
3122,"                                                                                                                                                                                                                                                 I swear England don’t have a coach, that Southgate guy is a mumu.",Negative
3123,                                                                                                                                                                                              Italy has equalised… cue the #Diving #HarryKane &amp; #RaheemSterling #Euro2020Final #ENGITL https://t.co/YnOkLVUOo3,Neutral
3124,                           Absolute fucking shambles from all involved. Especially the stadium staff and presumably police as well. Let it happen! May they lose this now. AGONISINGLY  England fans force way into Wembley without tickets for Euro 2020 final | Euro 2020 | The Guardian https://t.co/hoMoiOt0MH,Neutral
3125,                                                                                                                                                                                                                             Is there a Power Play going on or can England just not get it back to the other side?,Neutral
3126,                                                                                                                                                                                                                                                     But is England going to just defend even after the equalizer?,Negative
3127,                                                                                                                                                                                                                                                                                 Why is mount still on the pitch 😔,Negative
3128,                                                                                                                                                                                                                                                                                    Verrati really goes after Saka,Neutral
3129,                                                                                                                                                                                                                                                                                            PSG as fuck from Italy,Negative
3130,                                                                                                                                                                                                                                                                    Saka is fucking shit chiesa showing him levels,Negative
3131,                                                                                                                                                                                                                                                           Mason Mount 61% pass accuracy.  https://t.co/uPdm7ipTto,Neutral
3132,                                                                                                                                                                                                                                                                                                 Come on England !,Positive
3133,                                                                                                                                                                                                                             The reason why I want England to win is for the prize money to be donated to the NHS.,Neutral
3134,                                                                                                                                                                                                                                      @LifeAsSheyi him &amp; Sterling need to be created for. Midfield is dreadful,Negative
3135,                                                                                                                                                                                                                           England playing fucking negative football.. come the fuck out and play. #EnglandvsItaly,Negative
3136,                                                                                                                                                                                                     England should try and score cause there’s zero chance of them winning a penalty shootout against Donnarumma.,Negative
3137,                                                                                                                                                                                                                                                                      This Italy in second half is something else!,Positive
3138,                                                                                                                                                                                                                                                                                 Italy and their gingerbread legs.,Neutral
3140,"                                                                                                                                                                                                                                                        Put on Grealish or Sancho already, Mount has been ghosting",Negative
3141,                                                                                                                                                                                  Bro England is getting absolutely killed lmao. They better be praying this goes to extra time. This should not be tied right now,Negative
3142,                                                                                                                                                                                                                                                             The biggest myth in Football is that saka Is any good,Negative
3143,                                                                                                                                                                                                                                                                                                 Go England soccer,Positive
3145,"                                                                                                                                                                            Chiesa subbed due to injury, some breathing space for The #ThreeLions as long Maguire doesn't think that hes a striker ffs.  #EURO2020",Negative
3146,                                                                                                                                                                                                                                         @GaryLineker @alanshearer @rioferdy5 Come on Italy everyone hates Wngland,Negative
3147,                                                                                                                                                                                                                                          Grealish please! #EnglandvsItaly #Euro2020Final #EURO2020 #ItsComingHome,Neutral
3148,                                                                                                                                                                                                                                                                                      Come on Italy!! #EURO2020 🇮🇹,Positive
3149,                                                                                                                                                                                                                                                            Guardian opinion piece: Why it was right England lost.,Neutral
3150,                                                                                                                                                                                                                                                                                                   WE GOTTA FIGHT.,Positive
3151,                                                                                                                                                                                                                                                                           Mount off- Grealish on please #eng #ita,Neutral
3152,"                                                                                                                                                                                                                                                        @SAshworthHayes England players you have legs, stop diving",Negative
3153,"                                                                                                                                                                                                                                                            Chiesa been carrying Italy on his back, well played 👏🏾",Positive
3154,                                                                                                                                                                                                                           The whole of Europe right now  #EURO2020 #ITAENG #Euro2020Final https://t.co/hvo7R1HIbo,Neutral
3155,                                                                                                                                                                                                                                                                                         ???? what the actual fuck,Negative
3156,                                                                                                                                                                                                                                                                                  what's happening ????? #EURO2020,Neutral
3157,                                                                                                                                                                                                                 Sterling winner in the added time? I will play call me a yardie at FULL BLAST and don’t gleefully,Neutral
3158,                                                                                                                                                                                                                                                                                       Mount no even dey this game,Negative
3159,                                                                                                                                                                                                                                                                            england to retain possession challenge,Neutral
3160,                                                                                                                                                                                                                                                                I'm at the pool shitposting about Italy vs england,Neutral
3161,                                                                                                                                                                                                                           If Saka scores the winner I will cream myself with Ambrosia for the whole of next week.,Neutral
3162,                                                                                                                                                                                                                                                                        Idm extra time tbh I wanna see Saka more 😂,Neutral
3163,                                                                                                                                                                                                                                                          @finexwallsss for safety i hope england but i hope italy,Neutral
3164,                                                                                                                                                                                                                I can’t decide if my Scottish ancestry should have me routing for England or Italy. #Euro2020Final,Neutral
3165,                                                                                                                                                                                                                                            I have a feeling sterling will get a penalty for England at some point,Neutral
3166,                                                                                                                                                                   Can’t believe they’ve let some wanker make it onto the pitch. And I certainly don’t know how he’s lasted 90 minutes either. Just get Mount off.,Negative
3167,                                                                                                                                                                                                                                                                                   WTF NAURRR ITALY BETTER NOT WIN,Negative
3168,"                                                                                                                                                                                                  Came back from my hiatus, just  to say you've got this Italy. #EURO2020 #EuroFinal  Now I return to the shadows.",Neutral
3169,"                                                                                                                                                                                           Tactically, Gareth Southgate is a coward.   Bring Grealish, Sancho amd Rashford in.  #eng #ita #Euro2020Final #Euro2020",Negative
3170,                                                                                                                                                                                                                                         I cannot believe Goldbridge really said England has more tempo than Italy,Negative
3171,                                                                                                                                                                                                                                                   is roberto sitting in a massage chair in the stands?! 🤣 #ENGITA,Neutral
3172,                                                                                                                                                                                                                                                                                     Saka has not turned up at all,Negative
3174,                                                                                                                                                                                                                               Not even sure what the @England equivalent is. Should I be dressed up as @peppapig?,Neutral
3175,                                                                                                                                                                @SHAQ did you know that one of the most famous soccer players in the world Raheem Shaquille Sterling was named after you?? https://t.co/RocEQST2TA,Neutral
3176,                                                                                                                                                                                                                                                                                         england step up your game,Negative
